no,time,src,dst,protocol,info
1,0.000000000,192.168.47.139,192.168.47.2,DNS,ads-img.mozilla.org
2,0.000815956,192.168.47.2,192.168.47.139,DNS,ads-img.mozilla.org
3,0.001452562,192.168.47.139,34.36.54.80,TCP,N/A
4,0.004468777,34.36.54.80,192.168.47.139,TCP,N/A
5,0.004498683,192.168.47.139,34.36.54.80,TCP,N/A
6,0.005038326,192.168.47.139,34.36.54.80,TLS,HTTPS (SNI: ads-img.mozilla.org)
7,0.005122786,34.36.54.80,192.168.47.139,TCP,N/A
8,0.014452155,34.36.54.80,192.168.47.139,TLS,N/A
9,0.014498643,192.168.47.139,34.36.54.80,TCP,N/A
10,0.014814051,192.168.47.139,34.36.54.80,TLS,N/A
11,0.014886909,34.36.54.80,192.168.47.139,TCP,N/A
12,0.014978082,192.168.47.139,34.36.54.80,TLS,N/A
13,0.015061910,34.36.54.80,192.168.47.139,TCP,N/A
14,0.017565744,34.36.54.80,192.168.47.139,TLS,N/A
15,0.017905869,192.168.47.139,34.36.54.80,TLS,N/A
16,0.017980620,34.36.54.80,192.168.47.139,TCP,N/A
17,0.020541443,34.36.54.80,192.168.47.139,TLS,N/A
18,0.064416172,192.168.47.139,34.36.54.80,TCP,N/A
19,0.432408307,192.168.47.139,104.18.5.159,TLS,N/A
20,0.432611302,104.18.5.159,192.168.47.139,TCP,N/A
